iter	RMSE
0	12036.83528
1	11950.36658
2	11865.49358
3	11772.76758
4	11681.90778
5	11600.29038
6	11521.89085
7	11436.39792
8	11361.82713
9	11282.59341
10	11196.0193
11	11119.48969
12	11040.03971
13	10978.06871
14	10902.6355
15	10829.92467
16	10759.27887
17	10683.95381
18	10605.90984
19	10528.40947
20	10459.27851
21	10387.97001
22	10319.95819
23	10256.6555
24	10196.19725
25	10129.94752
26	10058.48641
27	9989.142354
28	9931.037366
29	9867.30522
30	9805.255598
31	9748.20036
32	9679.042638
33	9613.50697
34	9546.428818
35	9482.888062
36	9417.854951
37	9361.030019
38	9298.1318
39	9232.955316
40	9172.854404
41	9114.971916
42	9061.512151
43	9001.146158
44	8950.426288
45	8902.567344
46	8850.551323
47	8801.493558
48	8744.95213
49	8693.316619
50	8644.627401
51	8592.123599
52	8545.995531
53	8490.697731
54	8441.775443
55	8387.542369
56	8341.665642
57	8294.896197
58	8242.719193
59	8195.111827
60	8143.308624
61	8094.665308
62	8044.365194
63	7998.3729
64	7957.704636
65	7917.143787
66	7875.368775
67	7836.085318
68	7796.964899
69	7756.972333
70	7714.369414
71	7669.195167
72	7626.619549
73	7591.643729
74	7550.181744
75	7509.722951
76	7468.65325
77	7428.753395
78	7392.997026
79	7351.829264
80	7311.103206
81	7270.412278
82	7231.943468
83	7198.403749
84	7159.19692
85	7123.745584
86	7091.356269
87	7062.155264
88	7024.4917
89	6997.608692
90	6967.85788
91	6931.550861
92	6902.168139
93	6868.709344
94	6834.392926
95	6801.11611
96	6774.60493
97	6742.55
98	6709.862993
99	6684.147209
100	6657.980811
101	6635.827341
102	6605.915782
103	6581.465089
104	6550.248246
105	6519.758887
106	6494.351722
107	6467.913051
108	6440.923261
109	6414.695267
110	6387.666679
111	6364.187562
112	6342.96297
113	6316.972797
114	6293.084315
115	6267.243456
116	6244.234303
117	6219.879114
118	6194.866177
119	6174.499093
120	6154.745071
121	6129.954695
122	6110.787044
123	6092.553813
124	6069.360785
125	6047.801174
126	6024.80687
127	6011.783196
128	5988.86672
129	5966.43422
130	5943.763869
131	5922.894858
132	5906.033793
133	5886.193508
134	5864.91884
135	5848.00276
136	5828.840264
137	5808.342512
138	5793.917816
139	5775.689515
140	5760.994523
141	5744.94426
142	5725.835355
143	5708.234108
144	5694.617753
145	5680.080409
146	5663.283709
147	5644.857711
148	5631.461546
149	5618.252429
150	5604.888023
151	5592.05941
152	5576.747696
153	5563.555772
154	5551.112649
155	5538.091342
156	5525.330905
157	5510.088377
158	5498.564993
159	5484.499921
160	5469.597506
161	5458.337879
162	5443.554304
163	5432.809803
164	5418.511864
165	5407.39869
166	5393.650234
167	5381.075429
168	5367.012147
169	5357.431456
170	5345.045856
171	5332.385628
172	5323.18224
173	5313.237558
174	5302.51365
175	5291.947843
176	5281.104947
177	5271.010269
178	5259.883172
179	5248.551342
180	5239.116025
181	5227.303263
182	5218.940745
183	5208.971171
184	5199.311624
185	5188.605969
186	5180.428624
187	5170.098571
188	5160.326793
189	5150.321037
190	5140.190586
191	5130.878687
192	5122.458922
193	5113.818614
194	5104.119005
195	5096.753385
196	5088.521216
197	5081.901573
198	5075.468946
199	5067.772682
200	5059.907686
201	5052.913092
202	5043.922079
203	5035.003886
204	5026.614097
205	5020.120578
206	5014.351322
207	5008.252285
208	5002.127795
209	4997.85528
210	4989.627294
211	4983.858785
212	4977.858102
213	4971.164583
214	4964.35051
215	4958.564829
216	4953.568527
217	4947.057641
218	4940.828811
219	4934.449661
220	4927.345996
221	4920.606893
222	4915.44997
223	4909.865959
224	4904.495748
225	4897.884351
226	4891.319417
227	4886.597182
228	4881.339185
229	4876.602742
230	4871.391029
231	4865.355175
232	4859.802312
233	4855.851559
234	4851.135312
235	4846.154324
236	4841.425546
237	4838.290626
238	4832.502348
239	4827.820719
240	4822.139589
241	4817.837772
242	4813.362766
243	4809.636199
244	4804.210061
245	4800.354141
246	4796.029745
247	4792.851654
248	4788.920373
249	4784.983182
250	4780.241929
251	4775.787169
252	4771.79565
253	4768.051771
254	4763.8851
255	4760.296312
256	4756.850261
257	4752.912065
258	4749.262565
259	4746.650675
260	4742.240011
261	4738.688626
262	4735.494811
263	4732.165711
264	4729.107033
265	4724.958099
266	4721.889512
267	4719.807475
268	4718.189262
269	4715.344342
270	4713.06408
271	4709.114077
272	4705.836863
273	4703.604357
274	4701.632098
275	4699.020689
276	4696.374609
277	4693.822425
278	4691.32511
279	4688.500115
280	4685.867119
281	4683.64863
282	4680.138014
283	4676.878393
284	4673.817549
285	4672.884097
286	4671.46344
287	4668.373051
288	4665.521294
289	4662.652009
290	4660.254623
291	4658.996109
292	4657.019673
293	4654.632337
294	4653.398523
295	4650.708195
296	4648.546386
297	4646.539228
298	4644.284471
299	4642.61877
300	4640.502302
