iter	Passed	Remaining
0	0	548
1	2	1044
2	3	1064
3	4	1033
4	9	1921
5	10	1688
6	10	1497
7	10	1360
8	11	1243
9	11	1164
10	12	1090
11	12	1038
12	12	983
13	13	938
14	13	898
15	14	861
16	14	832
17	14	804
18	16	855
19	19	969
20	20	942
21	20	913
22	20	887
23	21	865
24	21	846
25	22	827
26	22	808
27	22	791
28	23	775
29	23	760
30	23	747
31	24	732
32	24	720
33	25	714
34	25	705
35	25	694
36	26	692
37	26	683
38	27	674
39	27	665
40	28	656
41	28	649
42	28	641
43	29	642
44	30	644
45	30	639
46	31	631
47	31	625
48	31	620
49	32	620
50	38	725
51	39	718
52	39	711
53	40	703
54	40	701
55	41	701
56	42	695
57	42	689
58	42	685
59	43	679
60	43	675
61	44	669
62	45	675
63	45	671
64	46	666
65	46	660
66	47	656
67	47	651
68	47	646
69	48	640
70	48	635
71	48	631
72	49	626
73	49	622
74	50	618
75	50	613
76	50	609
77	51	605
78	51	601
79	52	598
80	52	596
81	52	593
82	53	591
83	53	587
84	54	585
85	54	582
86	55	578
87	55	575
88	55	571
89	56	568
90	56	564
91	56	562
92	57	558
93	57	556
94	58	556
95	58	553
96	59	552
97	59	549
98	60	546
99	60	543
100	60	541
101	63	557
102	64	562
103	65	564
104	67	571
105	67	572
106	68	570
107	68	569
108	69	566
109	69	565
110	70	561
111	70	559
112	71	558
113	71	558
114	72	555
115	72	552
116	72	550
117	73	551
118	74	551
119	75	551
120	75	548
121	76	549
122	76	548
123	77	546
124	77	544
125	78	542
126	78	540
127	78	537
128	79	534
129	79	532
130	79	530
131	80	528
132	80	526
133	81	524
134	81	522
135	81	519
136	82	518
137	82	516
138	83	514
139	83	514
140	84	513
141	85	516
142	85	514
143	96	571
144	96	571
145	97	569
146	97	567
147	98	565
148	98	563
149	99	561
150	99	559
151	99	557
152	100	555
153	101	557
154	108	589
155	108	586
156	108	584
157	109	582
158	109	580
159	110	577
160	110	575
161	112	582
162	113	583
163	114	583
164	115	583
165	115	581
166	116	579
167	129	643
168	133	657
169	137	669
170	139	674
171	139	671
172	140	669
173	140	667
174	141	668
175	142	665
176	142	662
177	143	660
178	143	657
179	143	654
180	144	652
181	144	649
182	144	646
183	145	644
184	145	642
185	146	639
186	146	637
187	146	634
188	147	632
189	147	630
190	151	643
191	157	661
192	160	670
193	161	670
194	162	671
195	164	675
196	165	672
197	165	670
198	165	667
199	166	665
200	166	662
201	167	660
202	167	657
203	167	654
204	168	652
205	168	650
206	169	647
207	169	645
208	169	643
209	170	640
210	170	638
211	171	635
212	171	633
213	171	631
214	172	628
215	172	626
216	173	624
217	173	621
218	173	619
219	174	617
220	174	615
221	175	613
222	175	611
223	175	609
224	177	612
225	181	620
226	188	642
227	189	640
228	189	638
229	189	635
230	190	633
231	190	631
232	191	629
233	191	626
234	192	625
235	192	624
236	193	622
237	193	620
238	194	619
239	195	618
240	195	616
241	196	614
242	196	612
243	196	609
244	197	607
245	197	605
246	198	603
247	198	601
248	198	599
249	199	597
250	199	595
251	200	593
252	200	591
253	200	589
254	201	587
255	201	585
256	202	584
257	202	582
258	202	580
259	203	578
260	203	576
261	204	574
262	204	573
263	204	571
264	205	569
265	205	567
266	206	566
267	206	564
268	207	563
269	207	561
270	208	559
271	216	579
272	216	577
273	217	575
274	217	573
275	218	572
276	218	570
277	218	568
278	219	566
279	219	564
280	220	562
281	220	561
282	220	559
283	221	557
284	221	555
285	222	554
286	222	553
287	223	552
288	223	550
289	224	549
290	224	547
291	225	546
292	225	544
293	225	542
294	226	540
295	226	539
296	227	537
